,Rel_BreitGross,RelSpitze_oben,RelSpitze_unten,Anzahl_Linie,Anzahl_Ecken,Anzahl_Kreis,Label
36,0.8671782720119223,0.3419170243204578,0.3218884120171674,5,3,0,1
37,0.9774581044776293,0.34941520467836257,0.33771929824561403,7,6,0,1
38,0.8164068113547336,0.5665236051502146,1.0,23,14,0,1
39,0.8524655478402667,0.5593705293276109,0.9971387696709585,20,11,0,1
40,0.88538921115889,0.5135908440629471,0.9699570815450643,13,15,0,1
41,0.9878060682220954,0.3376251788268956,0.6866952789699571,17,10,0,1
42,0.9443730296046021,0.8154506437768241,1.0,15,17,0,1
43,0.9448090910767909,0.753934191702432,1.0,11,19,0,1
44,0.9444276965661852,0.776824034334764,1.0,9,26,0,1
45,0.9910558192784735,0.7052932761087267,1.0,19,13,0,1
46,0.9856733732420937,0.6509298998569385,1.0,5,5,0,1
47,0.9610266719859144,0.6080114449213162,1.0,26,6,0,1
48,0.9717578088340711,0.6108726752503576,1.0,20,7,0,1
49,0.9789613650181299,0.6151645207439199,1.0,20,6,0,1
50,0.9758318476089629,0.6037195994277539,1.0,21,6,0,1
51,0.9756795422031473,0.8597997138769671,1.0,21,38,0,1
52,0.985740224493492,0.6409155937052933,1.0,6,8,0,2
53,0.6100868510162201,0.927797833935018,0.927797833935018,1,8,0,2
54,0.7970763631305311,0.8426323319027181,1.0,12,43,0,2
55,0.42616033755274263,0.8514851485148515,0.900990099009901,2,12,0,2
56,0.40237675350416546,0.8019323671497585,0.8888888888888888,1,15,0,2
57,0.44238683127572015,0.9162790697674419,0.9441860465116279,1,7,0,2
58,0.8311873811058524,1.0,1.0,19,48,0,2
59,0.4322850843264599,0.8551401869158879,0.9626168224299065,0,8,0,2
60,0.4558153518783723,0.9716981132075472,0.9528301886792453,2,4,1,2
61,0.9442292538252385,0.5679542203147353,1.0,3,11,0,2
62,0.8397711015736766,0.9141630901287554,1.0,8,49,0,2
63,0.8295635833678592,0.8655221745350501,1.0,12,29,0,2
64,0.973459912940509,0.6652360515021459,1.0,19,15,0,2
65,0.8081539921476831,0.9098712446351931,1.0,16,28,0,2
66,0.8526466380543634,0.977110157367668,1.0,19,46,0,2
67,0.776824034334764,1.0,1.0,12,29,0,2
68,0.9021932820940862,0.6374622356495468,1.0,3,21,0,2
69,0.9693320507437689,0.5879828326180258,1.0,15,16,0,2
70,0.819742457790995,0.9213161659513591,1.0,15,42,0,2
71,0.8576427465391596,0.7424892703862661,1.0,14,25,0,2
72,0.9394436205528998,0.5894134477825465,1.0,8,10,1,2
73,0.9781867768656444,0.7668097281831188,1.0,11,21,0,2
74,0.9897237954981385,0.5965665236051502,1.0,6,16,0,2
75,0.9708453924392694,0.5951359084406295,1.0,8,8,0,2
76,0.9353845720130521,0.6409155937052933,1.0,8,8,0,2
77,0.5138884028160364,0.37625178826895567,0.3319027181688126,12,5,1,3
78,0.5189959010633347,0.36623748211731044,0.32474964234620884,6,7,0,3
79,0.5286331960447636,0.36337625178826893,0.3218884120171674,7,5,0,3
80,0.5346290506505962,0.3605150214592275,0.3261802575107296,11,6,0,3
81,0.5341534072596814,0.3805436337625179,0.3361945636623748,7,4,0,3
82,0.3892743703882865,0.1402002861230329,0.4907010014306152,5,12,0,3
83,0.5526323528785791,0.35336194563662376,0.3218884120171674,8,3,1,3
84,0.5370722009350816,0.33905579399141633,0.3147353361945637,10,17,0,3
85,0.5175699609842495,0.3419170243204578,0.3133047210300429,10,5,0,3
86,0.813118603477781,0.9917695473251029,0.6255144032921811,1,7,0,3
87,0.49581841288882644,0.34048640915593703,0.30758226037195996,7,9,0,3
88,0.4490831160844975,0.3562231759656652,0.32331902718168815,13,6,0,3
89,0.44363698676861624,0.3490701001430615,0.32045779685264664,11,6,0,3
90,0.4583974288902854,0.3490701001430615,0.32045779685264664,8,7,0,3
91,0.4808078063862533,0.34763948497854075,0.32045779685264664,9,7,0,3
92,0.4447440317282445,0.351931330472103,0.32761087267525035,8,10,0,3
93,0.9538340153849416,0.34048640915593703,0.703862660944206,14,8,0,3
94,0.7822992738850589,0.35050071530758226,0.65379113018598,10,10,0,3
